[2025-09-14 01:29:13] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 01:29:17] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 01:29:17] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 2 equipos cargados. Conectados: 1, Desconectados: 1
[2025-09-14 01:29:27] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 01:29:27] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 01:29:29] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 01:29:29] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 01:32:39] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 01:32:39] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 01:32:41] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 01:32:41] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 04:06:31] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:06:31] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:06:34] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:06:34] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 04:28:04] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:28:04] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:28:13] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:28:13] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 04:29:25] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:29:25] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 04:41:35] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:41:35] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:41:37] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:41:37] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:41:56] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:41:56] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-14 04:42:01] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:42:01] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:42:02] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:42:02] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 04:42:03] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:42:03] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-14 04:42:11] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:42:11] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:42:14] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:42:14] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-14 04:42:28] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:42:28] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:42:32] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:42:32] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-14 04:42:39] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:42:39] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:42:42] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:42:42] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:42:46] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:42:46] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:42:49] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:42:49] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:42:51] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:42:51] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:42:52] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:42:52] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:48:58] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:48:58] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:56:32] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-14 04:56:32] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 1, Desconectados: 0
[2025-09-14 04:56:33] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-14 04:56:33] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:56:34] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-14 04:56:34] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-14 04:56:51] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
